字段,填写说明,示例
测试日期,填写测试当天日期,2026-06-22
测试用户编号,用 U001/U002 记录即可,U001
城市,用户常住城市,武汉
孩子年龄,填写孩子年龄段,3-6岁
设备,手机/平板/电脑,手机
系统,苹果/安卓/Windows/iPad,苹果
是否首次访问,是/否,是
3秒内是否看懂网站,是/否/一般,是
最先点击的模块,TOP10/搜索/附近/天气/地点卡片,TOP10
是否找到想去地点,是/否,是
想去的地点名称,用户选择的地点,东湖绿道
是否点击立即导航,是/否,是
导航是否成功,是/否/未测试,是
是否完成登录,是/否,是
是否完成收藏,是/否/未测试,是
是否完成加入计划,是/否/未测试,是
是否提交真实体验,是/否/未测试,否
是否尝试推荐地点,是/否/未测试,否
最喜欢的信息,用户觉得有价值的内容,适合年龄和停车信息
最困惑的问题,用户不理解或卡住的位置,不知道真实体验怎么写
是否愿意再次使用,1-5分,4
是否愿意推荐朋友,1-5分,4
用户原话,尽量记录原句,这个比小红书找起来更直接
需要修复的问题,产品侧记录,登录后反馈不明显
优先级,P0/P1/P2,P1
备注,其他补充,
