用例ID,模块,优先级,前置条件,测试步骤,预期结果,自动化建议
HOME-001,首页加载,P0,服务可访问,打开 /,页面 200 且首屏完整无白屏,是（E2E）
HOME-002,场景入口跳转,P0,首页正常,点击露营/溯溪/徒步/野餐入口,跳转到 /destinations?scenario=... 且参数正确,是
HOME-003,首页中英文切换,P0,有语言切换控件,切换 EN/ZH,首页文案即时切换且无乱码,是
HOME-004,推荐卡片完整性,P0,首页正常,检查推荐卡图片标题评分标签,信息完整且不溢出不重叠,是（视觉回归）
HOME-005,首页导航链路,P0,首页正常,从首页进入目的地/地图/收藏/计划,路由正确且无报错,是
SEARCH-001,场景筛选,P1,进入 /destinations,选择不同场景筛选,结果仅包含对应场景,是
SEARCH-002,难度筛选,P1,目的地页可访问,切换 easy/moderate/hard,结果与筛选一致,是
SEARCH-003,距离筛选,P1,目的地页可访问,切换 30/50/80/120km,结果数量和范围变化符合预期,是
SEARCH-004,设施筛选,P1,目的地页可访问,勾选停车/厕所条件,结果满足设施条件,是
SEARCH-005,组合筛选,P1,目的地页可访问,场景+难度+距离+设施组合,结果准确无冲突,是
SEARCH-006,URL状态保持,P1,已设置筛选,刷新页面,URL与筛选状态保持一致,是
SEARCH-007,无结果场景,P1,可构造极端筛选,选择导致无结果组合,页面展示空态且不崩溃,是
MAP-001,地图加载成功,P0,配置有效 Mapbox Token,打开 /map,地图正常渲染且无致命错误,是
MAP-002,Marker数量校验,P0,地图已加载,统计 marker 与数据数量,数量一致,是
MAP-003,侧栏联动定位,P0,地图已加载,点击侧栏地点,地图 flyTo 到目标点,是
MAP-004,Marker弹窗,P0,地图已加载,点击 Marker,弹窗显示名称与距离,是
MAP-005,无Token降级提示,P0,移除 token,打开 /map,显示友好提示文案（EN/ZH）,是
FAV-001,未登录收藏拦截,P0,未登录,在列表或详情点收藏,提示登录且不崩溃,是
FAV-002,已登录新增收藏,P0,已登录,点击收藏按钮,收藏成功且 UI 状态更新,是
FAV-003,取消收藏,P0,已登录且已收藏,再次点击收藏,收藏取消且 UI 状态更新,是
FAV-004,收藏列表一致性,P0,已有收藏,打开 /favorites,列表与实际收藏一致,是
FAV-005,收藏持久化,P0,已操作收藏,刷新页面或重进,收藏状态保持,是
FAV-006,收藏空态,P0,无收藏,打开 /favorites,展示空态与引导按钮,是
WEATHER-001,首页天气文案显示,P2,首页正常,查看天气标签,标签展示正常无乱码,是
WEATHER-002,天气文案语言切换,P2,有语言切换,切换 EN/ZH,天气标签文案同步切换,是
WEATHER-003,刷新稳定性,P2,首页正常,多次刷新,天气区域无闪烁无错位,否
MOBILE-001,iPhone窄屏布局,P1,模拟 375x812,访问首页列表详情,无横向滚动无重叠,是（视觉）
MOBILE-002,Android常见尺寸,P1,模拟 390x844,访问核心页面,文案不截断且按钮可点,是
MOBILE-003,平板尺寸,P1,模拟 768x1024,访问地图和计划页,布局稳定交互正常,是
MOBILE-004,地图移动端可用性,P1,手机视口,在地图页操作侧栏和地图,可点击可滚动无遮挡,是
MOBILE-005,触控热区,P1,手机视口,点击关键按钮,点击命中率正常无误触,否
ERR-001,非法详情ID,P0,无,打开不存在的 /destinations/[id],返回 404 或友好页面,是
ERR-002,数据请求失败降级,P0,模拟 Supabase 异常,打开列表详情收藏,页面不白屏且有降级表现,是
ERR-003,登录失败提示,P0,模拟 auth 异常,提交登录,显示明确失败提示,是
ERR-004,计划保存失败提示,P0,模拟写入失败,在计划编辑保存排序删除,对应失败提示正确,是
ERR-005,分享操作失败提示,P0,模拟分享更新失败,切换公开分享或复制链接或下载二维码,错误提示可理解且流程不中断,是
ERR-006,控制台异常巡检,P0,核心路径可跑通,全流程操作一次,无未捕获严重异常,是
